序号	文献	场景	色彩显示	位置	形状	动静态	预警信息出现时间	预警信息持续时间	预警信息是否有分级	实验任务	自变量	因变量	结果	作者	团队/单位	发表年份	期刊/来源	JCR分区	★资料来源	★证据强度	★APA引注	★APA条目	★所属实验
1	Driver Behavior and Performance with Augmented Reality Pedestrian Collision Warning: An Outdoor User	户外真实停车场（large three-sided parking lot, 150m × 100m，停满车辆）的低速行驶+横穿行人碰撞场景；测试车辆以 15 mph 定速行驶，必须对突然横穿的行人进行刹车反应（pedestrian cross-traffic in parking lot）。	未明确报告颜色编码方案（论文未对 virtual shadow 指定特定颜色，仅描述为 dome-shaped conformal graphic + tether；'BRAKE' 文本警告为中央显示的文本标记）。论文未给出 RGB 或分级配色，无红/黄/绿分级。	三种警示位置不同：(1) Current warning 条件：'BRAKE' 文本固定在 HUD 中央（screen-fixed，缺少深度信息）；(2) Monoscopic virtual shadow 条件：将 3D 虚拟阴影透视投影到 HUD 最近焦平面 8m 处；(3) Volumetric virtual shadow 条件：直接生成在与真实行人相同距离的地面平面上（world-fixed, conformal）。虚拟阴影呈现在道路地面，绑定到行人 GPS 坐标，随驾驶员接近而变化（relative size & height in visual field）。	Virtual shadow = 圆顶（dome）形锥形虚拟对象 + 一条 tether（连接线，延伸到预测碰撞点）。Dome 绝对直径 1.0 m；从驾驶员视角呈现的视角大小在 2° 到 8° 之间（随观察距离变化）。Current warning = 文本符号 'BRAKE'。	动态/动画：Virtual shadow 与行人地理位置 conformally registered，随车辆接近其在驾驶员视场中的相对大小、高度、位置持续变化（动态、随距离动态缩放）。'BRAKE' 文本警告为静态文本（一旦显示，保持不变直到停车）。	由 GPS 触发：当测试车通过预定义触发点（trigger point）时，HUD 上立即出现警示并行人同步出现。两种距离条件：(1) Near：TTC = 2.5 s（距离 16.7 m at 15 mph），代表紧迫情景（urgent，可能引发 last-second hard braking）；(2) Far：TTC = 5.0 s（距离 33.5 m at 15 mph），代表正常情景（timed-normal braking）。	Current 'BRAKE' 警告：'the sign remains the same at the center of the display until the car stops'（持续显示至车辆停止）。Virtual shadow：在车辆通过触发点后开始显示，随后随驾驶员位置动态更新（持续直至危险解除/通过场景；论文未给出具体秒数）。	无显式分级（不报警等级）。研究通过 distance-to-pedestrian（near vs far）两个 TTC 水平作为自变量级别，但警示界面本身没有 attention/imminent 等多级编码。	在停车场内驾驶测试车（2009 Honda Odyssey），按预定义路线寻找指定停车区内的车位；保持 15 mph 定速（转弯可减速）；遇到任何 cross traffic（横穿行人或倒车车辆）时必须完全刹停，不可避让或绕行。在实验试次中通过 HUD 提供不同类型的视觉警告。	两个被试内自变量：(1) Visual warning（4 水平）：no warning（控制组）/ current warning（'BRAKE' 文本）/ monoscopic virtual shadow / volumetric virtual shadow；(2) Distance to pedestrian（2 水平）：near（TTC=2.5 s）/ far（TTC=5.0 s）。2×4 重复测量设计，使用拉丁方/随机抵消顺序。	通过 RTK GPS（200 Hz）、SMI ETG 眼动仪（30 Hz）和 GoPro 视频（24 Hz）记录的距离基测量（distance-based measures）：(1) gaze-on warning distance；(2) gaze-on pedestrian distance；(3) foot-off accelerator distance；(4) foot-on brake distance；(5) stopping distance；(6) peak deceleration (g)；以及一个分类变量 behavioral pattern（A/B/C）描述上述事件的顺序。所有测量以触发点为 0 m 标定，并通过 SAE J299 公式校正实际速度偏差。	(1) Monoscopic 与 Volumetric HUD 在所有 DV 上无显著差异——单目透视深度线索（linear perspective, relative size, height in visual field）足以保证 AR 驾驶任务表现；(2) Conformal AR 图形（mono+volu）引发了与 no warning / current warning 显著不同的行为模式：在 monoscopic 和 volumetric 条件下分别有 77% 和 76% 驾驶员在踩刹车前先看到真实行人（pattern A+B）；而 current warning 条件下所有驾驶员先反应警告再寻找行人（pattern C）；(3) Conformal 图形在 far 条件下使驾驶员更晚才看向行人（mono -19.31%, volu -25.21%），current warning 反而使其更早看行人(+24.02%)。Foot-on-brake 距离在 conformal 条件下显著减小（near: mono -32.44%, volu -36.15%；far: mono -29.42%, volu -38.75%, current -57.21%）。(4) 性能增益：far 条件下，停车距离 mono -17.15%、volu -17.79%、current -49.91%（current 减少最多但代价是不必要的硬刹）；near 条件下，conformal 与 current 在停车距离上无差异；(5) Peak deceleration：near 条件三种警示都降低峰值减速度（mono -20.34%, volu -14.67%, current -19.86%）；但 far 条件下 current warning 反而显著提高峰值减速度+34.46%（不必要的 hard braking，增加追尾风险），而 conformal 图形按距离调节驾驶员响应（distance-modulated braking）。结论：conformal AR 图形通过引导注意力到真实危险，使刹车响应符合实际距离需求，避免过度硬刹。	Hyungil Kim, Joseph L. Gabbard, Alexandre Miranda Añon	Hyungil Kim	2018	TVCG 2018	Q1 (IF 6.5) / CCF A (可视化和计算机图形学顶刊)	全文	强	(Kim et al., 2018)	Kim, H., Gabbard, J. L., Anon, A. M., & Misu, T. (2018). Driver Behavior and Performance with Augmented Reality Pedestrian Collision Warning: An Outdoor User Study. *IEEE Transactions on Visualization and Computer Graphics*, *24*(4), 1515–1524. https://doi.org/10.1109/tvcg.2018.2793680	实验0、实验1、实验2、实验3、实验4
2	Enhancing the driver awareness of pedestrian using augmented reality cues	固定基座（fixed-based）驾驶模拟器中的车辆跟随（car-following）主任务，期间出现行人触发行人感知评估事件。	未报告（abstract 未给出 AR cues 的颜色编码）	AR-HUD 叠加于驾驶员前方道路视野（'maintain driver's gaze on the road'），具体显示位置/像素坐标未报告	AR cues（具体几何形状未在 abstract 中明确，仅描述为用于增强行人感知的 augmented reality 视觉线索）	未报告（推测随行人位置变化而动态注册，但 abstract 未明确）	未报告（abstract 未给出 TTC/距离阈值）	未报告	无分级（评估按 perception/vigilance/anticipation 三层感知层级，而非紧急程度分级）	车辆跟随（car-following）主任务；遭遇行人时通过观察被试可观察 outcomes 评估三层感知：perception level（觉察）/ vigilance level（警觉）/ anticipation level（预判）	是否呈现 AR cues（AR cues 介入 vs. 无 AR cues 基线对照）	驾驶员对行人的三层 awareness：perception level、vigilance level、anticipation level（通过可观察 outcomes 测得）	所提出的 AR cues 在 perception、vigilance、anticipation 三个感知层级上均显著提升驾驶员对行人的觉察；验证了 AR-HUD 用于 PCWS 的可行性	Minh Tien Phan, Indira Thouvenin, Vincent Frémont	Minh Tien Phan	2016	ITSC 2016	会议 (IF -) / CCF C (ITSC 国际智能交通会议)	全文	强	(Phan et al., 2016)	Phan, M. T., Thouvenin, I., & Frémont, V. (2016). Enhancing the driver awareness of pedestrian using augmented reality cues. In *2016 IEEE 19th International Conference on Intelligent Transportation Systems (ITSC)* (pp. 1298–1304). IEEE. https://doi.org/10.1109/itsc.2016.7795724	实验0、实验1、实验2、实验3
3	Casting shadows: Ecological interface design for augmented reality pedestrian collision warning	城市街区自然驾驶场景（augmented video，基于在 Virginia Tech 校园附近真实拍摄的驾驶视频，约 130° 视角的 GoPro 3+ 镜头）。该论文为 2 页短文（design 提案 + heuristic walkthrough），目标场景为城市道路中的行人 cross-traffic 碰撞预警情景。	Virtual Shadow 阴影的颜色为红色（'The red color of the shadow warns the driver of an urgent situation that requires an immediate response'）；对照设计 bounding box 也使用红色矩形高亮检测到的行人。无 红/黄/绿 多级配色。	Conformal/world-fixed registration：阴影附着在地面行人脚下，跟随目标行人移动，并随车辆接近其在视场中增大；自我中心（egocentric）参考系，从驾驶员视角直接呈现，落在 vehicle 路径预测碰撞位置。Bounding box 也是 world-fixed，包围检测到的行人。	Virtual Shadow = 一个圆形/dome 形阴影（位于预测碰撞位置）+ 一根 tether（拴绳）连接行人到圆形（tether 的方向 = 行人接近方向；tether 的长度 = 预期 spatial intrusion，即车到达交叉点时行人会侵入的距离）；阴影 shape & size 反映目标 obstacle 的类型与大小。对照 = bounding box（矩形边界框）。	动态/emergent feature：阴影随车辆-行人相对位置-速度持续动态变化。论文给出两类典型动画：(a) 当驾驶员减速避撞时，阴影沿车道方向 stretching 拉长并最终离开车道而消失；(b) 当驾驶员加速避撞时，阴影 shrinking 缩回到行人脚下并消失。该 emergent feature 旨在可视化 spatial intrusion 的不可见动力学。	未给出具体 TTC/距离阈值（poster 中仅在设计层面说明 'timing of AR interface cues is a key design factor'，并强调 appropriate timing 为设计因素）。Heuristic walkthrough 用 augmented video，警告由 video 编辑时序触发。	未明确报告固定秒数；按设计意图，阴影从行人进入预测危险时显示，直至危险解除（驾驶员减速/加速使 spatial intrusion 离开车道）才消失。	无明确多级（注意/紧急）划分；阴影显示本身即代表'紧急'（红色 + 即时反应）。论文将设计建立于 SRK（Skills, Rules, Knowledge）认知层次，但不属于警告等级。	Heuristic walkthrough（启发式走查）：4 位 HCI/AR 领域专家在驾驶模拟器中观看 augmented video，'mimic driving'（用方向盘控制屏幕中央十字光标对准车道中心、按提示操作脚踏与转向灯、跟随 GPS 风格语音导航），并依据一套启发式规则对 bounding box 与 virtual shadow 两种界面预测驾驶员表现。	界面设计（被试内）：bounding box vs virtual shadow（与控制条件 no warning 进行比较）。	专家基于启发式给出的预测评分（-3 strongly worse 到 +3 strongly better，相对 no warning 基线），覆盖 8 个 Wickens 信息加工阶段：Attention-selective、Attention-divided、Sensation、SA-perception、SA-comprehension、SA-projection、Decision、Workload。也包括 retrospective think-aloud 中收集到的可用性问题、设计因素映射表。	Heuristic walkthrough 结果表明 virtual shadow 在所有 8 个启发式维度上均预期优于 no warning 基线；bounding box 则被预期会 narrow attention 并使 workload 不下降甚至上升（因为高亮所有行人形成 clutter，使驾驶员需自行筛选危险行人）。专家共识：virtual shadow 的合适 timing 与最小信息密度（minimal graphics）会降低 mental workload；阴影的 size、position 和 color 的增长与移动能快速吸引注意并辅助 perception。潜在隐患：tether 形状/长度若关联多个行人可能造成歧义。结论：EID + AR HUD 的虚拟阴影设计同时兼顾'选择性注意'与'分散注意'的权衡。	Hyungil Kim, Jessica D. Isleib, Joseph L. Gabbard	Hyungil Kim	2016	IEEE VR 2016	会议 (IF -) / CCF A (VR 顶级会议)	全文	强	(Kim et al., 2016a)	Kim, H., Isleib, J. D., & Gabbard, J. L. (2016a). Casting shadows: Ecological interface design for augmented reality pedestrian collision warning. In *2016 IEEE Virtual Reality (VR)* (pp. 205–206). IEEE. https://doi.org/10.1109/vr.2016.7504725	实验1、实验3、实验4
4	Virtual Shadow	两项研究：Study 1 = 驾驶模拟器中 augmented video 的城市道路 cross-traffic 行人情景（heuristic walkthrough）；Study 2 = 真实停车场（parking lot）低速（15 mph）行驶中应对横穿行人的 cross-traffic 碰撞场景，使用配备 volumetric HUD 的测试车。	Virtual Shadow 阴影为红色（'red color of the shadow warns the driver of an urgent situation that requires an immediate response'）；'BRAKE' 传统警告为 HUD 中央文本（颜色未具体规定）；bounding box（仅用于 Study 1 对照）为矩形高亮。无 红/黄/绿 分级。	Study 1：world-fixed conformal（阴影附着行人，bounding box 包围行人）。Study 2 新设计：volumetric HUD 在与行人相同的真实焦距处呈现虚拟阴影于地面（world-fixed conformal，egocentric 视角），HUD 焦距范围 8 m 到光学无穷；传统 'BRAKE' 警告固定在 HUD 中央（screen-fixed），无深度信息。	Virtual Shadow = dome 形圆顶 + tether（拴绳），同 #03；'BRAKE' 警告 = 中央文本符号；bounding box（仅 Study 1）= 矩形框。	Virtual Shadow 为动态 conformal 图形，随车辆运动其大小、位置在视场中连续变化（emergent feature 可视化 spatial intrusion 的动力学）；'BRAKE' 文本警告为静态（'regardless of distance to the target, the sign remains the same at the center of the display until the car stops'）。	Study 2 由 GPS 触发：测试车通过预定义触发点时，HUD 警告与行人同步出现。两个距离水平：Near：TTC = 2.5 s（参考 Fitch et al. 2010，足够短以诱发 last-second hard braking）；Far：TTC = 5.0 s（约为 Near 距离的 2 倍，用于诱导 timed-normal braking）。Volumetric HUD 焦距下限 8 m 被论证为合理——在 15 mph 下 2 秒法则要求 13 m 提前提醒，且对 < 8 m 内的紧急危险建议辅以听觉警报。	'BRAKE' 传统警告：保持显示直至车辆停止（持续不变）。Virtual Shadow：从触发点开始持续显示，随驾驶员-行人空间关系动态更新，直至 spatial intrusion 解除（阴影 stretching 离开车道或 shrinking 回到行人）。具体秒数未报告。	无显式分级；阴影颜色（红色）即表示紧急。两种距离条件（near/far）为实验自变量水平，不是警告内置等级。	Study 1（heuristic walkthrough）：4 位专家在模拟器中模拟驾驶并基于启发式评分。Study 2（parking lot 实验）：16 位有经验驾驶员驾驶测试车，以 15 mph 定速通过预定路线寻找指定停车区，遇横穿行人必须刹停；不可避让或绕行。先做无警告 baseline 试次（near + far 两距离），再做其余 4 种实验条件（2 警告 × 2 距离）。	Study 2：两个被试内自变量——(1) 界面设计（3 水平）：no warning（baseline）/ traditional warning（'BRAKE' 文本）/ new warning（virtual shadow）；(2) target distance（2 水平）：near（TTC=2.5 s）/ far（TTC=5.0 s）。3×2 重复测量设计；顺序通过抵消减少学习效应；随机加入 no-event 试次和左右随机化以降低预期。	从测试车减速曲线提取的 5 个连续变量：(1) car reaction time Treact（从警告触发到车开始减速的时间）；(2) braking time Tbrake（减速持续时间）；(3) time to stop Tstop = Treact + Tbrake；(4) maximum deceleration Gmax；(5) stopping distance Dstop / gap from pedestrian。Study 1 测量：专家在 8 项启发式（Attention-selective/divided, Sensation, SA-perception/comprehension/projection, Decision, Workload）上的 -3~+3 评分。	Study 1：virtual shadow 在所有 8 项启发式上被专家预期优于 no warning 基线；bounding box 则被预期分散注意并不能降低 workload。Study 2（n=14 分析，剔除 2 名忽略警告者）：(1) Reaction time——virtual shadow 与 traditional 'BRAKE' 警告均缩短反应时间（vs baseline），表明视觉提示有助早期检测；(2) Time to stop——virtual shadow 与 baseline 相同（缩短了反应时间但延长了 braking time，整体停车时间维持）；traditional 警告则缩短 time to stop；(3) Maximum deceleration——near 条件下两种警告均降低峰值减速度（更平滑），但 far 条件下 traditional 'BRAKE' 警告反而引起比 baseline 更高的峰值减速度（不必要的硬刹）；(4) Stopping distance & gap——far 条件下两种界面均缩短停车距离/增大与行人距离；near 条件下两者无改善；(5) Interaction：traditional 警告下驾驶员的反应几乎不随 target distance 变化（说明文本警告缺少空间信息），而 virtual shadow 与 no warning 条件下显示出相同的 distance-modulated 行为差异，表明 virtual shadow 提供了与真实行人等价的深度线索。结论：conformal 图形提供的空间信息使刹车更平滑、避免对远距离行人过度硬刹。	Hyungil Kim, Jessica D. Isleib, Joseph L. Gabbard	Hyungil Kim	2016	HFES 2016	会议论文集 (IF -) (HFES 年会论文集)	全文	强	(Kim et al., 2016b)	Kim, H., Isleib, J. D., & Gabbard, J. L. (2016b). Virtual Shadow. *Proceedings of the Human Factors and Ergonomics Society Annual Meeting*, *60*(1), 2093–2097. https://doi.org/10.1177/1541931213601474	实验1、实验2、实验3、实验4
5	Development of augmented forward collision warning system for Head-Up Display	工程系统原型场景：面向 HUD 的增强型前向碰撞预警系统（FCWS），目标含前方车辆与行人（车载视觉检测 + AR-HUD 告警）	未报告/工程系统	AR-HUD 投射在驾驶员前向视野，告警图形贴合检测目标（具体位置参数未在 abstract 给出）	增强图形告警（augmented warnings；abstract 未具体描述形状）	动态（随实时检测结果更新告警注册位置）	未报告（基于碰撞危险评估触发，但具体 TTC/距离阈值未给出）	未报告/工程系统	未报告/工程系统	N/A 工程系统（无人因实验任务）：提出系统检测前方车辆与行人→评估碰撞风险→叠加 AR 告警	N/A 工程系统	N/A 工程系统	提出 HUD + AR 融合的 FCWS 架构，构建'检测—风险评估—视觉告警'工程闭环，验证 AR-HUD 用于 FCWS 的工程可行性	Changrak Yoon, Kyong-Ho Kim, Hye Sun Park	Changrak Yoon	2014	ITSC 2014	会议 (IF -) / CCF C (ITSC 国际智能交通会议)	全文	强	(Yoon et al., 2014)	Yoon, C., Kim, K., Park, H. S., Park, M. W., & Jung, S. K. (2014). Development of augmented forward collision warning system for Head-Up Display. In *17th International IEEE Conference on Intelligent Transportation Systems (ITSC)* (pp. 2277–2279). IEEE. https://doi.org/10.1109/itsc.2014.6958054	背景（技术/综述，未直接引用）
6	Design and Evaluation of Ecological Interface of Driving Warning System Based on AR-HUD	同济模拟器（Unity 2023 + 3×55英寸 4K 屏 + Logitech G29 + Tobii Pro 眼动），5 个场景：S1 前向碰撞 50km/h、S2 限速 60→50km/h、S3 侧向碰撞 40-50km/h、S4 车道偏离 30km/h、S5 复合多警示 30km/h	红/黄/绿三级（与交通灯一致语义）；通过透明度/饱和度做渐变	中央凹视区（fovea）2°内贴合道路平面（3D world-anchored conformal）	Carpet 地毯型（梯形），由 (a) 当前安全行驶区 (b) 越界范围 (c) 障碍物方向指引 (d/e) 多警示组合视图构成	动态：随车辆运动与环境监测实时变化；颜色随风险增加从绿→黄→红渐变	基于安全行驶区 Ssafe(t) 与车头时距 HW* 阈值；具体 TTC 数值未明确报告（依各场景动态计算）	持续直至危险解除（动态跟随）	二级（Phase 1 黄色一阶预警 / Phase 2 红色二阶临界）	驾驶模拟器中按指引完成 5 种警示场景，期间填写 DALI 量表；基于 SRK + EID 三层认知模型设计的 HMI1 与主流 AR-HUD HMI2 对比	界面类型 (HMI1 EID 生态界面 vs HMI2 主流 AR-HUD) × 场景 (S1-S5)	主观 DALI（5维认知负荷）、瞳孔直径 APD、注视时长、风险感知时间、风险决策时间	HMI1 vs HMI2：主观认知负荷 S2/S3/S5 显著降低 (p<0.05–0.001)；瞳孔直径 S2/S3/S5 显著小 (S5 p<0.001)；风险感知时间平均缩短 62.96%, SD 减少 87.5% (p<0.001)；风险决策时间平均缩短 34.57%, SD 减少 40% (p=0.003)	Jun Ma, Yuhui Li, Yuanyang Zuo	Jun Ma	2024	Sensors (MDPI) 2024	Q2 (IF 4.0) (MDPI)	全文	强	(Ma et al., 2024)	Ma, J., Li, Y., & Zuo, Y. (2024). Design and Evaluation of Ecological Interface of Driving Warning System Based on AR-HUD. *Sensors*, *24*(24), 8010. https://doi.org/10.3390/s24248010	实验1、实验2、实验4
7	Evaluating the Effectiveness of Contact-Analog and Bounding Box Prototypes in Augmented Reality Head	AR 增强驾驶视频回放下的关键事件响应任务，覆盖 rear-end（追尾）与 pedestrian（行人）两类碰撞 × 高/低交通密度	未报告（abstract 侧重对比 contact-analog 与 bounding box 两种图形原型，未给出颜色参数）	AR-HUD 视野内叠加：contact-analog 共形贴合目标位置；bounding box 框选目标周围	两种 AR-HUD 预警图形原型：Contact-Analog Graphic（共形图形）与 Bounding Box（包围盒）	动态（与目标车辆/行人位置绑定，随视频场景变化）	未报告	未报告	无分级（三组对比：contact-analog / bounding box / 无预警）	观看 AR-增强驾驶视频，对关键碰撞事件作出反应	预警类型（contact-analog / bounding box / 无预警）× 碰撞类型（rear-end / pedestrian）× 交通密度（高/低）	反应时间 reaction time、响应率 response rate、主观评价	两种 AR 预警均显著优于无预警；追尾场景下 contact-analog 表现更佳；行人场景下 bounding box 反应时间更短，且与交通密度无关	Wanting Chen, Liuqiucheng Niu, Shan Liu	Wanting Chen	2024	IJHCI 2024	Q1 (IF 4.9) (HCI 重要期刊)	全文	强	(Chen et al., 2024a)	Chen, W., Niu, L., Liu, S., Ma, S., Li, H., & Yang, Z. (2024a). Evaluating the Effectiveness of Contact-Analog and Bounding Box Prototypes in Augmented Reality Head-Up Display Warning for Chinese Novice Drivers Under Various Collision Types and Traffic Density. *International Journal of Human–Computer Interaction*, *41*(4), 2677–2691. https://doi.org/10.1080/10447318.2024.2327197	实验1、实验3
8	Comparative Analysis of AR-HUDs Crash Warning Icon Designs: An Eye-Tracking Study Using 360° Panoram	360° 全景视频驾驶仿真下的多种转弯（turning）场景，包含行人风险事件	未报告（abstract 侧重对比三类图标，未给出颜色参数）	三类位置策略：BD/BR 为固定位置图标（fixed-position）；BW 与危险目标动态绑定（dynamically linked to hazards），贴合危险目标位置	三种 AR-HUD 碰撞预警图标：BD、BR、BW（abstract 未具体展开几何形状）	BD/BR 为静态/固定位置图标；BW 为动态跟踪（dynamic tracking）危险目标的图标	未报告	未报告	无分级（仅三种图标类型对比，非紧急程度分级）	360° 全景驾驶仿真中执行转弯驾驶任务，并感知行人风险	AR-HUD 碰撞预警图标类型（BD / BR / BW）× 转弯场景	眼动指标：gaze duration（注视时长）、fixation counts（注视次数）、time to first fixation TTFF（首次注视时间）	BW（动态跟随）显著优于 BD/BR——更长注视时长、更多注视次数、更短 TTFF；BD/BR（固定位置）易受变道影响，注意力被引偏	Zhendong Wu, Ying Liang, Guocui Liu	Zhendong Wu	2024	Sustainability (MDPI) 2024	Q2 (IF 4.1) (MDPI)	全文	强	(Wu et al., 2024)	Wu, Z., Liang, Y., Liu, G., & Ai, X. (2024). Comparative Analysis of AR-HUDs Crash Warning Icon Designs: An Eye-Tracking Study Using 360° Panoramic Driving Simulation. *Sustainability*, *16*(21), 9167. https://doi.org/10.3390/su16219167	实验1、实验3
9	Spatial Plane Positioning of AR-HUD Graphics: Implications for Driver Inattentional Blindness in Nav	AR-HUD 图形空间面定位实验：实验 1 为导航场景，实验 2 为碰撞预警场景；考察对非注意盲视（inattentional blindness）的影响	未报告	三种空间面位置（核心自变量）：horizontal planar position（水平面）、vertical planar position（垂直面）、mixed planar position（混合面）	AR-HUD 导航图形（实验 1）/ AR-HUD 碰撞预警图形（实验 2）；具体形状未在 abstract 中展开	未报告	未报告	未报告	无分级（仅空间位置变量对比）	单因素被试内设计——实验 1：导航图形空间面位置任务；实验 2：碰撞预警图形空间面位置任务	AR-HUD 图形的空间面位置（水平面 / 垂直面 / 混合面）	非注意盲视行为频次（IB frequency）、反应时间、工作负荷（workload）、用户体验（含 hedonic qualities）	空间位置对非注意盲视频次与反应时间均无显著影响；导航：水平面体验最佳、负荷最低，混合面次之；碰撞预警：垂直面体验最优、负荷最低，混合面在 hedonic 维度更突出	M. H. Ye, Jun Yin	M. H. Ye	2025	Electronics (MDPI) 2025	Q2 (IF 2.9) (MDPI)	全文	强	(Ye & Yin, 2025)	Ye, M., & Yin, J. (2025). Spatial Plane Positioning of AR-HUD Graphics: Implications for Driver Inattentional Blindness in Navigation and Collision Warning Scenarios. *Electronics*, *14*(23), 4768. https://doi.org/10.3390/electronics14234768	实验1、实验3
10	An Augmented Warning System for Pedestrians: User Interface Design and Algorithm Development	行人侧 AR 投影/可穿戴预警场景：向行人本人告知来车风险，包含视线被遮挡（sightline blocked by obstructions）的情景；非车载 HUD	未报告	投影到行人视野/前方地面（非车载 HUD）；具体位置参数未在 abstract 给出	简洁易懂的 UI 图形（abstract 未展开具体几何）	动态（多种实时投影算法 real-time projection algorithms 随来车更新预警信息）	实时（real-time）告警；具体提前时间/TTC 阈值未报告	未报告	无分级	Pilot study（小规模试点）：测试投影算法的准确性与 UI 的可理解性	N/A（pilot study；侧重算法与 UI 可行性验证）	算法实时更新能力、UI 可理解性（pilot 评估）	投影算法能实时更新预警信息并正确呈现于易理解 UI；在视线被遮挡场景下仍能有效工作；为情境感知薄弱的行人提供保护手段	Yourui Tong, Bochen Jia, Shan Bao	Yourui Tong	2021	Applied Sciences (MDPI) 2021	Q2 (IF 2.5) (MDPI)	全文	强	(Tong et al., 2021)	Tong, Y., Jia, B., & Bao, S. (2021). An Augmented Warning System for Pedestrians: User Interface Design and Algorithm Development. *Applied Sciences*, *11*(16), 7197. https://doi.org/10.3390/app11167197	背景（时间专题）
