idx,year,first_author,all_authors,title,venue,doi,cited_by,group,topic,相关性评分,匹配关键词,abstract
1,2024,Guanhua Hou,Guanhua Hou; Qi Dong; Huiwen Wang,The Effect of Dynamic Effects and Color Transparency of AR-HUD Navigation Graphics on Driving Behavior Regarding Inattentional Blindness,International Journal of Human-Computer Interaction,10.1080/10447318.2024.2400376,17,A_AR_HUD_navigation+D_inattentional_blindness_AR,Human-Automation Interaction and Safety,49.5,"A:augmented reality,A:head-up display,T:navigation,T:inattentional blindness,T:transparency,T:driving,A:driver,A:in-vehicle","In-vehicle Augmented Reality Head-Up Displays (AR-HUDs) offer drivers integrated navigation and vehicle status information, thereby improving the driving experience. Many studies explored the effects of AR-HUD navigation design and information presentation on driving performance; however, these stud"
2,2018,Coleman Merenda,Coleman Merenda; Hyungil Kim; Kyle Tanous; Joseph L. Gabbard,Augmented Reality Interface Design Approaches for Goal-directed and Stimulus-driven Driving Tasks,IEEE Transactions on Visualization and Computer Graphics,10.1109/tvcg.2018.2868531,72,A_AR_HUD_navigation+B_attentional_capture_driving,Augmented Reality Applications,45.7,"T:augmented reality,A:head-up display,A:navigation,T:stimulus-driven,T:driving,A:driver,A:collision warning,A:in-vehicle","The automotive industry is rapidly developing new in-vehicle technologies that can provide drivers with information to aid awareness and promote quicker response times. Particularly, vehicles with augmented reality (AR) graphics delivered via head-up displays (HUDs) are nearing mainstream commercial"
3,2021,Yu-Wei Wang,Yu-Wei Wang; Yimin A. Wu; Cheng Chen; Bohan Wu,Inattentional Blindness in Augmented Reality Head-Up Display-Assisted Driving,International Journal of Human-Computer Interaction,10.1080/10447318.2021.1970434,55,D_inattentional_blindness_AR,Human-Automation Interaction and Safety,44.5,"T:augmented reality,T:head-up display,T:inattentional blindness,T:driving,A:driver,A:pedestrian","Augmented reality head-up display (AR HUD) is a new technology in assisted driving, which can add extra information to the driving environment in real-time to help the driver better perceive road situation. AR HUD can enhance driving safety but may also encourage inattentional blindness. Hence, this"
4,2023,Wanting Chen,Wanting Chen; Jiaqing Song; Yu-Wei Wang; Changxu Wu,Inattentional blindness to unexpected hazard in augmented reality head-up display assisted driving: The impact of the relative position between stimulus and augmented graph,Traffic Injury Prevention,10.1080/15389588.2023.2186735,29,D_inattentional_blindness_AR,Human-Automation Interaction and Safety,40.0,"T:augmented reality,T:head-up display,T:inattentional blindness,T:driving,A:pedestrian","OBJECTIVE: An augmented reality head-up display (AR-HUD) is a promising technology in assisted driving. It provides additional information in the driving environment. However, considering the registration problem related to the limitations of interactive technology, we suspect that an AR-HUD may not"
5,2015,A. Bolton,A. Bolton; Gary Burnett; David R. Large,An investigation of augmented reality presentations of landmark-based navigation using a head-up display,,10.1145/2799250.2799253,67,A_AR_HUD_navigation,Human-Automation Interaction and Safety,37.7,"T:augmented reality,T:head-up display,T:navigation,A:driving,A:driver,A:driving simulator","Using landmark-based navigation can greatly improve drivers' route-finding performance. Previous research in this area has tended to focus on the inclusion of text or icon-based landmark information utilising dashboard-mounted displays. In contrast, we present landmark-based navigation information u"
6,2024,Li Liang,Li Liang; Zijiang Yang; Jie Zeng; Chacon Quintero Juan Carlos,Evaluating Driver Preferences for In-Vehicle Displays during Distracted Driving Using Driving Simulators,Electronics,10.3390/electronics13081428,11,B_attentional_capture_driving,Human-Automation Interaction and Safety,36.2,"A:head-up display,T:driving,T:driver,T:in-vehicle,T:vehicle display,T:driving simulator",Research on the impact of distracted driving on in-vehicle displays was conducted through a user preference experiment based on simulated driving. The development of automotive automation and multi-screen in-vehicle displays has improved the driving experience but also increased distracted driving. 
7,2020,Nayara de Oliveira Faria,Nayara de Oliveira Faria,Evaluating Automotive Augmented Reality Head-up Display Effects on Driver Performance and Distraction,2020 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),10.1109/vrw50115.2020.00128,11,D_inattentional_blindness_AR,Human-Automation Interaction and Safety,35.2,"T:augmented reality,T:head-up display,A:inattentional blindness,A:driving,T:driver","As the automotive industry progresses towards the car of the future, we have seen increasing interest using augmented reality (AR) head-up displays (HUD) in driving. AR HUDs provide a fundamentally new driving experience in which drivers still have to respond to both the road and the information pro"
8,2018,Hyungil Kim,Hyungil Kim; Joseph L. Gabbard,Quantifying Distraction Potential of Augmented Reality Head-Up Displays for Vehicle Drivers,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,10.1177/1541931218621436,2,F_traffic_density_complexity,Human-Automation Interaction and Safety,35.0,"T:augmented reality,T:head-up display,A:salience,T:driver,A:in-vehicle,A:vehicle display","Background: A recent National Highway Traffic &amp; Safety Administration (NHTSA) report states that 10% of fatal crashes and 18% of injury crashes were reported as distraction-affected crashes. In that same year, 3,179 people were killed and an estimated 431,000 injured in motor vehicle crashes inv"
9,2025,Qi Zhu,Qi Zhu; Z. Liu,Reality Head-Up Display Navigation Design in Extreme Weather Conditions: Enhancing Driving Experience in Rain and Fog,Electronics,10.3390/electronics14091745,8,A_AR_HUD_navigation+D_inattentional_blindness_AR+E_transparency_luminance,Human-Automation Interaction and Safety,34.9,"A:augmented reality,T:head-up display,T:navigation,T:driving,A:driver,A:cognitive load","This study investigates the impact of extreme weather conditions (specifically heavy rain and fog) on drivers’ situational awareness by analyzing variations in illumination levels. The primary objective is to identify optimal color wavelengths for low-light environments, thereby providing a theoreti"
10,2019,Nayara de Oliveira Faria,Nayara de Oliveira Faria; Dina Kandil; Joseph L. Gabbard,Augmented reality head-up displays effect on drivers’ spatial knowledge acquisition,Proceedings of the Human Factors and Ergonomics Society Annual Meeting,10.1177/1071181319631287,10,A_AR_HUD_navigation,Spatial Cognition and Navigation,34.1,"T:augmented reality,T:head-up display,A:navigation,A:driving,T:driver","Background: Drivers gather most of the information they need to drive by looking at the world around them and at visual displays within the vehicle. Navigation systems automate the way drivers navigate. In using these systems, drivers offload both tactical (route following) and strategic aspects (ro"
